ID,Institution,Campus,Address,Phone,Web Address,Location,Neighborhood
22,University of California Hastings College of Law,,100 McAllister St,4155654600,http://www.uchastings.edu,POINT (-122.4140251 37.7811643),Tenderloin
27,Academy of Art University,,1849 Washington St,,,POINT (-122.4233985 37.79271576),Pacific Heights
32,Academy of Art University,,491 Post St,,,POINT (-122.4103705 37.78782523),Tenderloin
48,City College of San Francisco,Mission,1125 Valencia St,,,POINT (-122.4203042 37.75484683),Mission
5,California Culinary Academy,,350 Rhode Island St,4157713500,http://www.caculinary.edu,POINT (-122.4030029 37.76574019),Mission Bay
18,University of San Francisco,,2130 Fulton St,4154225555,http://www.usfca.edu,POINT (-122.4509351 37.77618928),Lone Mountain/USF
6,Marinello Schools of Beauty,,1085 Mission St,5629452211,http://www.marinello.com,POINT (-122.4103312 37.77936284),South of Market
36,Academy of Art University,,60 Federal St,,,POINT (-122.3920745 37.78330745),Financial District/South Beach
1,The Art Institute of California-San Francisco,,1170 Market St,4158650198,http://www.artinstitutes.edu/sanfrancisco/,POINT (-122.4143194 37.77950511),Tenderloin
10,Heald College-San Francisco,,350 Mission St,4158083000,http://www.heald.edu,POINT (-122.3966526 37.79090548),Financial District/South Beach
23,University of California Hastings College of Law,,198 McAllister St,4155654600,http://www.uchastings.edu,POINT (-122.4149724 37.78105093),Tenderloin
28,Academy of Art University,,740 Taylor St,,,POINT (-122.4117779 37.7893834),Nob Hill
9,Academy of Art University,,79 New Montgomery St,4152742200,http://www.academyart.edu,POINT (-122.4005462 37.78789864),Financial District/South Beach
19,San Francisco State University,,1600 Holloway Ave,4153381111,http://www.sfsu.edu,POINT (-122.4801364 37.72391332),Lakeshore
2,University of California Hastings College of Law,,200 McAllister St,4155654600,http://www.uchastings.edu,POINT (-122.4156701 37.78115545),Tenderloin
14,American Conservatory Theater,,30 Grant Ave,4158343200,http://www.act-sf.org,POINT (-122.4047315 37.78709023),Financial District/South Beach
31,Academy of Art University,,625 Sutter St,,,POINT (-122.410676 37.78872699),Nob Hill
35,Academy of Art University,,180 New Montgomery St,,,POINT (-122.3995208 37.78625102),Financial District/South Beach
46,City College of San Francisco,Evans,1400 Evans Ave,,,POINT (-122.3847078 37.74179876),Bayview Hunters Point
24,University of California Hastings College of Law,,376 Larkin St,4155654600,http://www.uchastings.edu,POINT (-122.4166513 37.78122201),Tenderloin
13,The Fashion Institute of Design & Merchandising-San Francisco,,55 Stockton St,4156755200,http://WWW.FIDM.EDU,POINT (-122.4065154 37.78603672),Financial District/South Beach
15,Miami Ad School-San Francisco,,415 Jackson St,4158370966,http://www.miamiadschool.com,POINT (-122.4023477 37.79637246),Chinatown
60,University of California-San Francisco,Mount Zion,1600 Divisadero St,,,POINT (-122.4393106 37.78482062),Japantown
41,City College of San Francisco,Civic Center,"750 Eddy St

750 Eddy Street

750 Eddy Street*",,,POINT (-122.4200359 37.78322474),Tenderloin
3,San Francisco Conservatory of Music,,50 Oak St,4158647326,http://www.sfcm.edu,POINT (-122.4202696 37.77554947),Hayes Valley
50,University of California-San Francisco,Mission Bay,600 16th St,,,POINT (-122.3921299 37.76768652),Mission Bay
8,Everest College-San Francisco,,814 Mission St  Suite 500,8887414270,http://www.everest.edu/campus/san_francisco?,POINT (-122.4048526 37.78439716),South of Market
34,Academy of Art University,,410 Bush St,,,POINT (-122.4045012 37.79113835),Financial District/South Beach
29,Academy of Art University,,2151 Van Ness Ave,,,POINT (-122.4238659 37.79538047),Pacific Heights
20,San Francisco Art Institute,,800 Chestnut St,4157717020,http://www.sfai.edu,POINT (-122.4170907 37.8037702),Russian Hill
25,Academy of Art University,,2300 Stockton St,,,POINT (-122.4102403 37.80747093),North Beach
16,Saybrook Graduate School and Research Center,,747 Front St,4154339200,http://www.saybrook.edu,POINT (-122.4001683 37.79839196),Financial District/South Beach
42,City College of San Francisco,Downtown,88 4th St,,,POINT (-122.404624 37.78450932),South of Market
40,Academy of Art University,,601 Brannan St,,,POINT (-122.3987812 37.77589188),Mission Bay
12,American College of Traditional Chinese Medicine,,455 Arkansas St,4152827600,http://www.actcm.edu,POINT (-122.3979702 37.76052191),Potrero Hill
33,Academy of Art University,,540 Powell St,,,POINT (-122.40894 37.78988497),Nob Hill
49,City College of San Francisco,Southeast,1800 Oakdale Ave,,,POINT (-122.3940977 37.73744737),Bayview Hunters Point
21,University of California-San Francisco,Parnassus,500 Parnassus Ave,4154769000,http://www.ucsf.edu,POINT (-122.4586196 37.76292238),Inner Sunset
7,San Francisco Institute of Esthetics and Cosmetology,,1067 Folsom St,4153551734,,POINT (-122.4070272 37.77705101),South of Market
4,California Institute of Integral Studies,,1453 Mission St,4155756100,http://www.ciis.edu,POINT (-122.4161598 37.77456069),South of Market
30,Academy of Art University,,688 Sutter St,,,POINT (-122.4116055 37.78903822),Nob Hill
17,City College of San Francisco,Ocean,50 Phelan Ave,4152393000,http://www.ccsf.edu,POINT (-122.450972 37.72576996),West of Twin Peaks
11,Golden Gate University-San Francisco,,536 Mission St,4154427800,http://www.ggu.edu,POINT (-122.3988662 37.78925764),Financial District/South Beach
47,City College of San Francisco,John Adams,1860 Hayes St,,,POINT (-122.4470124 37.77429933),Lone Mountain/USF
26,Academy of Art University,,701 Chestnut St,,,POINT (-122.4150483 37.80323611),Russian Hill
37,Academy of Art University,,466 Townsend St,,,POINT (-122.3992706 37.77413509),Mission Bay
